id,code,parent_id/id,name,user_type_id/id,chart_template_id/id,reconcile
petrogas_coa_638,638,petrogas_coa_63,Other Reversals Of Provisions,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_64,64,petrogas_coa_6,Other Comprehensive Income Reclassification Adjustments,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_641,641,petrogas_coa_64,Exchange Differences On Translation,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_642,642,petrogas_coa_64,Available-For-Sale Financial Assets,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_643,643,petrogas_coa_64,Cash Flow Hedges,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_644,644,petrogas_coa_64,Hedges Of Net Investment In Foreign Operations,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_645,645,petrogas_coa_64,Change In Value Of Time Value Of Options,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_646,646,petrogas_coa_64,Change In Value Of Forward Elements Of Forward Contracts,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_647,647,petrogas_coa_64,Change In Value Of Foreign Currency Basis Spreads,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
petrogas_coa_648,648,petrogas_coa_64,Financial Assets Measured At Fair Value Through Other Comprehensive Income,account_parent.data_account_type_view,l10n_petrogas.gambian_chart_template,False
