code,name,country_id,city_id,category_id,property_payment_term_id,default_regime_id,company_type,customer,supplier,property_account_receivable_id/id,property_account_payable_id/id
2092,SARJO JARJU,Gambia,Banjul,SUPPLIER,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2093,SATGURU TRAVEL & TOURS SERVICE,Gambia,Banjul,SUPPLIER,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2094,SHYBEN MADI AND SONS LTD,Gambia,Banjul,SUPPLIER,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2095,SOFEMA,Gambia,Banjul,SUPPLIER,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2096,STAR TEX ENTERPRISE,Gambia,Banjul,SUPPLIER,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2097,Structures Ltd,Gambia,Banjul,SUPPLIER,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2098,T.K. Motors,Gambia,Banjul,SUPPLIER,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2099,TAKAFUL GAMBIA LTD,Gambia,Banjul,SUPPLIER,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2100,Thomex Enterprise,Gambia,Banjul,SUPPLIER,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2101,TOUBA AKC ENTERPRISE,Gambia,Banjul,SUPPLIER,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2102,TOUBA MATERIELE PETROBER (TMP SURL),Gambia,Banjul,IT Equipment,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2103,TRAFIGURA PTE LTD,Gambia,Banjul,Oil Product Supplier,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
2104,TRUST TRANSPORT COMPANY LTD,Gambia,Banjul,TRANSPORT,Immediate Payment,D.P,company,False,True,l10n_petrogas.coa_supplier,l10n_petrogas.coa_supplier
